911.1,20.9,16.9,80,-999,0,-999,-999
910.2,20.9,16.9,80,-999,0,-999,-999
910.6,20.9,16.7,79,-999,0,-999,-999
908.9,20.7,16.5,79,-999,0,-999,-999
908.7,20.7,16.5,79,-999,0,-999,-999
908.4,20.7,16.5,79,-999,0,-999,-999
908.1,20.6,16.6,80,-999,0,-999,-999
907.2,20.6,16.4,79,-999,0,-999,-999
907,20.7,16.5,79,-999,0,-999,-999
905.5,20.4,16.2,79,-999,0,-999,-999
906.1,20.6,16.4,79,-999,0,-999,-999
905.7,20.5,16.3,79,-999,0,-999,-999
905.2,20.5,16.3,79,-999,0,-999,-999
904.9,20.4,16.2,79,-999,0,-999,-999
903.5,20.3,16.1,79,-999,0,-999,-999
904,20.3,16.3,80,-999,0,-999,-999
903.6,20.4,16.4,80,-999,0,-999,-999
903.6,20.2,16.2,80,-999,0,-999,-999
902.4,20.2,16.2,80,-999,0,-999,-999
901.8,20.2,16.2,80,-999,0,-999,-999
901.7,20.2,16.2,80,-999,0,-999,-999
900.9,20.1,16.1,80,-999,0,-999,-999
900.5,20.1,15.9,79,-999,0,-999,-999
899.6,19.9,15.7,79,-999,0,-999,-999
899.2,20,15.8,79,-999,0,-999,-999
899.1,20,15.8,79,-999,0,-999,-999
909.9,22.9,18.9,80,-999,0,-999,-999
898.2,20.1,15.5,77,-999,0,-999,-999
897.4,19.9,15.3,77,-999,0,-999,-999
897.4,20,15.4,77,-999,0,-999,-999
896.3,19.9,15.5,78,-999,0,-999,-999
896,19.9,15.3,77,-999,0,-999,-999
895.4,19.8,15.2,77,-999,0,-999,-999
895.1,19.8,15.4,78,-999,0,-999,-999
894.4,19.8,15.4,78,-999,0,-999,-999
894,19.7,15.3,78,-999,0,-999,-999
894.1,19.7,15.3,78,-999,0,-999,-999
892.2,19.5,15.3,79,-999,0,-999,-999
891.9,19.5,15.3,79,-999,0,-999,-999
891.7,19.5,15.3,79,-999,0,-999,-999
890.6,19.4,15.2,79,-999,0,-999,-999
890.1,19.4,15.4,80,-999,0,-999,-999
888.9,19.2,15.2,80,-999,0,-999,-999
888.5,19.2,15.2,80,-999,0,-999,-999
888.3,19.3,15.3,80,-999,0,-999,-999
887.6,19.3,15.1,79,-999,0,-999,-999
887,19.2,15,79,-999,0,-999,-999
886.7,19.2,15,79,-999,0,-999,-999
886.8,19.3,15.1,79,-999,0,-999,-999
885.7,19.1,14.9,79,-999,0,-999,-999
884.4,19,14.8,79,-999,0,-999,-999
885.6,19.3,15.1,79,-999,0,-999,-999
883.6,19,14.8,79,-999,0,-999,-999
883.8,18.9,14.7,79,-999,0,-999,-999
882,18.9,14.7,79,-999,0,-999,-999
880.9,18.8,14.6,79,-999,0,-999,-999
880.2,18.7,14.7,80,-999,0,-999,-999
878.7,18.7,14.7,80,-999,0,-999,-999
878,18.6,14.6,80,-999,0,-999,-999
877.8,18.6,14.6,80,-999,0,-999,-999
877.4,18.6,14.6,80,-999,0,-999,-999
877.1,18.6,14.4,79,-999,0,-999,-999
876.7,18.5,14.3,79,-999,0,-999,-999
875.6,18.5,14.3,79,-999,0,-999,-999
875.2,18.5,14.3,79,-999,0,-999,-999
874.6,18.5,14.3,79,-999,0,-999,-999
874.2,18.4,14,78,-999,0,-999,-999
873.7,18.4,14,78,-999,0,-999,-999
873.4,18.4,14,78,-999,0,-999,-999
871.7,18.3,13.9,78,-999,0,-999,-999
871.2,18.2,13.8,78,-999,0,-999,-999
871,18.2,13.8,78,-999,0,-999,-999
870.7,18.2,14,79,-999,0,-999,-999
869.9,18.2,14,79,-999,0,-999,-999
