%TITLE%
 GNV   241027/2300 29.6502,82.3245

   LEVEL       HGHT       TEMP       DWPT       WDIR       WSPD
-------------------------------------------------------------------
%RAW%
1019.80,10.00,23.80,17.91,215.60,0.10
1019.60,15.00,23.90,17.96,181.10,0.40
1019.20,20.00,23.80,19.06,185.60,6.70
1017.70,35.00,25.70,18.31,105.20,4.50
1017.20,45.00,26.10,18.43,123.50,4.50
1016.90,50.50,26.30,18.44,121.50,3.00
1016.50,55.00,26.30,18.26,110.40,3.50
1015.80,60.80,26.40,18.12,123.10,6.20
1015.10,63.00,26.30,17.81,119.30,6.60
1014.40,69.40,26.30,17.73,137.60,5.40
1013.80,77.90,26.30,17.54,152.20,3.60
1013.00,81.50,26.30,17.46,183.90,2.10
1012.70,84.50,26.30,17.46,207.40,1.90
1012.00,90.80,26.30,17.35,258.90,1.20
1011.40,96.20,26.40,17.09,127.80,0.20
1011.00,103.50,26.40,16.92,81.80,3.50
1010.50,108.20,26.60,16.85,93.00,5.10
1010.00,114.00,26.60,16.59,109.80,7.20
1009.20,119.30,26.50,16.41,117.10,7.50
1008.50,126.50,26.50,16.26,137.30,7.30
1008.20,132.50,26.50,16.23,159.40,8.30
1007.40,134.70,26.50,16.00,181.20,8.00
1006.80,134.80,26.50,15.85,199.60,4.90
1006.00,140.80,26.40,15.60,148.30,0.80
1005.50,146.00,26.40,15.51,123.80,4.20
1005.00,148.00,26.40,15.48,148.80,5.50
1004.60,152.50,26.40,15.48,168.70,3.10
1004.00,156.20,26.30,15.36,35.40,1.00
1003.60,160.20,26.30,15.21,58.50,3.50
1003.00,163.80,26.30,15.21,69.20,5.70
1002.60,166.40,26.20,15.15,88.60,6.20
1002.20,170.10,26.20,15.18,100.30,6.40
1001.90,182.40,26.20,15.15,102.80,5.50
1001.20,188.20,26.10,15.08,119.30,5.10
1000.70,193.10,26.10,15.11,115.30,6.70
1000.20,196.80,26.00,15.02,163.50,4.90
999.80,200.40,26.00,15.05,142.90,3.90
999.20,203.30,26.00,15.08,112.80,6.70
998.70,207.60,26.00,15.11,119.00,9.50
997.70,216.10,25.90,15.08,129.40,6.70
997.20,219.20,25.80,15.02,146.50,6.80
996.60,225.10,25.80,15.02,174.80,6.00
996.00,231.70,25.70,14.93,194.20,4.40
995.50,238.30,25.70,14.99,199.70,2.80
995.10,244.30,25.60,14.90,265.80,0.80
994.50,247.30,25.60,14.96,67.10,2.80
993.90,253.40,25.50,14.89,88.70,5.10
993.10,260.20,25.50,14.92,95.00,6.70
992.60,267.00,25.40,14.86,113.10,8.30
992.20,275.50,25.40,14.89,144.80,8.00
991.50,277.40,25.40,14.86,189.10,6.10
990.80,282.60,25.30,14.80,226.60,2.90
990.30,289.30,25.20,14.77,159.80,1.60
989.60,293.20,25.20,14.74,144.60,3.90
989.00,296.90,25.20,14.77,135.00,3.80
988.70,301.10,25.10,14.70,100.10,5.50
988.20,304.80,25.10,14.76,94.30,8.60
987.60,307.80,25.00,14.70,107.50,9.70
987.20,312.60,25.00,14.76,130.30,9.40
986.90,314.10,24.90,14.70,154.30,8.20
